Giocatore,Squadra,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP
Ricci M.,Spezia,C,10,28,-,1,5,-,-,-,-,-,5.98,5.92,-1.6
Rinaldi F.,Parma,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Rincon T.,Torino,C,11,36,1,1,8,1,-,-,-,-,5.93,5.93,-
Rispoli A.,Crotone,D,6,15,-,-,4,-,-,-,-,-,5.6,5.46,-2.1
Riviere E.,Crotone,A,11,13,1,1,2,-,-,-,-,-,5.53,5.76,3
Rocha K.,Sampdoria,D,1,-,-,-,-,-,-,-,-,-,-,-,-
Rodrigo Becao N.,Udinese,D,11,33,1,-,5,-,-,-,-,-,5.81,5.87,2
Rodriguez R.,Torino,D,8,16,-,-,1,-,-,-,-,-,5.56,5.53,-0.5
Rog M.,Cagliari,C,13,13,-,-,2,-,-,-,-,-,5.96,5.88,-1.1
Rogerio O.,Sassuolo,D,9,25,-,-,4,-,-,-,-,-,5.96,5.88,-2
Rojas L.,Crotone,T (C),1,2,-,-,-,-,-,-,-,-,5.5,5.5,-
Romagna F.,Sassuolo,D,5,-,-,-,-,-,-,-,-,-,-,-,-
Romagnoli A.,Milan,D,14,22,1,1,7,-,-,-,-,-,5.9,6,2.2
Romero C.,Atalanta,D,17,31,2,2,10,-,-,-,-,-,6.43,6.62,5.9
Ronaldo C.,Juventus,A,47,33,29,2,3,-,8,6,2,-,6.34,8.81,81.5
Rosati A.,Fiorentina,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Rossi F.,Atalanta,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Rovella N.,Genoa,C,7,18,-,2,4,-,-,-,-,-,6.05,6.05,-
Rrahmani A.,Napoli,D,14,14,1,-,2,-,-,-,-,-,6.1,6.35,3.5
Ruegg K.,Verona,D,7,6,-,-,-,-,-,-,-,-,5.75,5.75,-
Rugani D.,Cagliari,D,12,12,1,1,2,-,-,-,-,-,5.83,6.2,4.4
Ruggeri M.,Atalanta,D,2,3,-,-,-,-,-,-,-,-,5.5,5.5,-
Ruiz F.,Napoli,C,20,32,3,-,1,-,-,-,-,-,5.96,6.32,11.5
Saelemaekers A.,Milan,T (C),14,31,2,3,5,1,-,-,-,-,6,6.24,7.4
Sala J.,Spezia,D,4,6,-,-,1,-,-,-,-,-,5.25,5.16,-0.5
Salcedo E.,Verona,A,14,16,2,-,3,-,-,-,-,-,5.84,6.12,4.5
Samir C.,Udinese,D,11,28,1,-,6,-,-,-,-,-,5.96,6.01,1.4
Sanabria A.,Torino,A,18,14,5,1,2,-,-,-,-,-,5.92,7,15.1
Sanchez A.,Inter,A,25,26,7,6,-,-,1,-,1,-,6.26,7.19,24.1
Sansone N.,Bologna,T (A),15,21,2,2,1,-,-,-,-,-,5.95,6.3,7.3
Santander F.,Bologna,A,10,2,-,1,-,-,-,-,-,-,5.5,6,1
Santon D.,Roma,D,5,10,-,-,3,-,-,-,-,-,5.7,5.55,-1.5
Saponara R.,Spezia,T (C),16,8,2,-,-,1,-,-,-,-,6,6.87,7
Sau M.,Benevento,A,17,20,4,2,-,1,1,1,-,-,5.85,6.5,13
Scamacca G.,Genoa,A,22,26,8,2,1,-,2,2,-,-,6.11,7.01,23.4
Schiappacasse N.,Sassuolo,T (A),4,1,-,-,-,-,-,-,-,-,5.5,5.5,-
Schiattarella P.,Benevento,C,10,28,1,1,14,1,-,-,-,-,6.05,5.94,-3.1
Schouten J.,Bologna,C,11,34,1,1,8,1,-,-,-,-,6.05,6.05,-
Scuffet S.,Udinese,P,1,1,-,-,-,-,-,-,-,-,5,3,-2
Sena L.,Spezia,C,7,14,-,-,-,-,-,-,-,-,5.89,5.89,-
Sensi S.,Inter,C,14,16,-,-,1,1,-,-,-,-,6.06,5.96,-1.6
Sepe L.,Parma,P,8,36,-,-,-,-,-,-,-,-,5.95,3.84,-76
Shomurodov E.,Genoa,A,22,30,8,1,1,-,-,-,-,-,5.96,6.78,24.6
Silva A.,Sampdoria,C,12,22,1,1,5,1,-,-,-,-,5.84,5.91,1.6
Silvestri M.,Verona,P,16,34,-,-,1,-,-,-,-,-,6.2,4.92,-43.5
Simeone G.,Cagliari,A,18,29,6,1,1,-,-,-,-,-,5.68,6.32,18.6
Simy -.,Crotone,A,32,37,20,2,1,-,8,8,-,-,5.87,7.54,61.8
Singo W.,Torino,D,9,27,1,2,2,1,-,-,-,-,5.96,6.12,4.3
Sirigu S.,Torino,P,10,32,-,-,-,-,-,-,-,-,6,4.06,-62.1
Skorupski L.,Bologna,P,13,28,-,-,1,-,-,-,-,2,6.1,4.66,-40.3
Skov Olsen A.,Bologna,T (A),12,23,2,2,1,-,-,-,-,-,5.84,6.17,7.6
Skriniar M.,Inter,D,20,32,3,-,1,-,-,-,-,-,6.28,6.68,12.8
Smalling C.,Roma,D,17,14,-,1,3,-,-,-,-,-,6.1,6.07,-0.4
Sohm S.,Parma,C,6,16,1,-,1,-,-,-,-,-,5.52,5.73,3.6
Soriano R.,Bologna,C,26,37,9,4,5,-,-,-,-,-,6.35,7.36,37.3
Sottil R.,Cagliari,T (C),13,20,2,1,3,-,-,-,-,-,5.97,6.35,7.6
Soumaoro A.,Bologna,D,11,20,1,-,4,-,-,-,-,-,6,6.12,2.4
Spinazzola L.,Roma,D,19,26,2,4,-,-,-,-,-,-,6.26,6.69,11.1
Sportiello M.,Atalanta,P,11,15,-,-,-,-,-,-,-,1,6.2,5,-18
Sprocati M.,Parma,T (A),7,1,-,-,-,-,-,-,-,-,5,5,-
Strakosha T.,Lazio,P,18,9,-,-,1,-,-,-,-,-,6.05,4.44,-14.5
Strootman K.,Genoa,C,14,18,-,3,7,-,-,-,-,-,6.11,6.08,-0.6
Sturaro S.,Verona,C,9,15,1,-,6,-,-,-,-,-,5.76,5.83,1.1
Sutalo B.,Atalanta,D,5,4,-,-,-,-,-,-,-,-,5.87,5.87,-
Svanberg M.,Bologna,C,17,32,5,2,6,1,-,-,-,-,5.96,6.53,18.3
Szczesny W.,Juventus,P,24,30,-,1,-,-,-,-,-,2,6.31,5.48,-24.9
Tameze A.,Verona,C,11,32,1,-,6,-,-,-,-,-,6.04,6.07,0.9
Tatarusanu C.,Milan,P,1,1,-,-,-,-,-,-,-,-,5,2,-3
Tello A.,Benevento,C,8,10,1,-,1,-,-,-,-,-,5.85,6.2,3.5
Terracciano P.,Fiorentina,P,7,4,-,-,-,-,-,-,-,1,6.37,6.12,-1
Terzi C.,Spezia,D,9,23,1,1,7,1,-,-,-,-,5.77,5.81,0.9
Thorsby M.,Sampdoria,C,14,33,3,1,10,-,-,-,-,-,6.06,6.3,7.9
Toljan J.,Sassuolo,D,8,23,-,2,2,-,-,-,-,-,5.65,5.69,0.9
Toloi R.,Atalanta,D,15,31,2,-,10,-,-,-,-,-,6.03,6.16,4.1
Tomiyasu T.,Bologna,D,13,31,2,-,4,-,-,-,-,-,5.98,6.14,4.9
Tomori F.,Milan,D,14,17,1,-,-,-,-,-,-,-,6.2,6.47,4.6
Tonali S.,Milan,C,11,22,-,-,1,1,-,-,-,-,5.7,5.63,-1.5
Tonelli L.,Sampdoria,D,9,22,1,-,11,-,-,-,-,-,5.88,5.84,-0.9
Torregrossa E.,Sampdoria,A,16,4,1,-,-,-,-,-,-,-,6,6.75,3
Tramoni M.,Cagliari,C,1,2,-,-,-,-,-,-,-,-,5.75,5.75,-
Traore H.,Sassuolo,T (C),18,32,5,2,6,-,-,-,-,-,6.1,6.7,19.2
Tripaldelli A.,Cagliari,D,3,6,-,-,1,-,-,-,-,-,5.66,5.58,-0.5
Tuia A.,Benevento,D,8,27,1,-,6,-,-,-,-,-,5.74,5.79,1.3
Turati S.,Sassuolo,P,2,-,-,-,-,-,-,-,-,-,-,-,-
Udogie D.,Verona,D,1,5,-,-,1,-,-,-,-,-,5.9,5.8,-0.5
Ujkani S.,Torino,P,2,1,-,-,-,-,-,-,-,-,6,5,-1
Valenti L.,Parma,D,7,9,-,-,-,-,-,-,-,-,5.77,5.77,-
Vecino M.,Inter,C,15,6,1,1,-,-,-,-,-,-,6.33,7.16,5
Veloso M.,Verona,C,17,19,2,2,1,-,2,2,-,-,6.05,6.55,9.5
Venuti L.,Fiorentina,D,8,24,-,1,2,-,-,-,-,-,5.79,5.7,-2.2
Verde D.,Spezia,T (A),21,19,6,1,-,-,-,-,-,-,6,7,19
Verdi S.,Torino,T (C),12,32,1,5,6,-,-,-,-,-,5.6,5.79,6.1
Veretout J.,Roma,C,28,28,10,1,4,-,5,5,-,-,6.25,7.64,38.9
Vergani E.,Bologna,A,1,-,-,-,-,-,-,-,-,-,-,-,-
Verre V.,Sampdoria,T (C),16,20,3,3,3,-,-,-,-,-,6.02,6.66,13.5
Vicario G.,Cagliari,P,5,4,-,-,-,-,-,-,-,-,6.5,5,-6
